+----------+---------------------+-------------+
|   coin   |        time         | price (eur) |
+----------+---------------------+-------------+
| bitcoin  | 2024-05-10 00:00:00 |  58566.92   |
| bitcoin  | 2024-05-11 00:00:00 |  56489.04   |
| bitcoin  | 2024-05-12 00:00:00 |  56385.84   |
| bitcoin  | 2024-05-13 00:00:00 |   57101.0   |
| bitcoin  | 2024-05-14 00:00:00 |  58257.95   |
| bitcoin  | 2024-05-15 00:00:00 |  56927.17   |
| bitcoin  | 2024-05-16 00:00:00 |   60811.3   |
| bitcoin  | 2024-05-17 00:00:00 |   60054.3   |
| bitcoin  | 2024-05-18 00:00:00 |  61631.88   |
| bitcoin  | 2024-05-19 00:00:00 |  61502.73   |
| bitcoin  | 2024-05-20 00:00:00 |  60924.87   |
| bitcoin  | 2024-05-21 00:00:00 |  65770.16   |
| bitcoin  | 2024-05-22 00:00:00 |  64653.89   |
| bitcoin  | 2024-05-23 00:00:00 |  63912.08   |
| bitcoin  | 2024-05-24 00:00:00 |  62795.08   |
| bitcoin  | 2024-05-25 00:00:00 |  63150.07   |
| bitcoin  | 2024-05-26 00:00:00 |  63850.68   |
| bitcoin  | 2024-05-27 00:00:00 |  63150.48   |
| bitcoin  | 2024-05-28 00:00:00 |  63871.13   |
| bitcoin  | 2024-05-29 00:00:00 |  62950.71   |
| bitcoin  | 2024-05-30 00:00:00 |  62561.01   |
| bitcoin  | 2024-05-31 00:00:00 |  63123.74   |
| bitcoin  | 2024-06-01 00:00:00 |  62145.92   |
| bitcoin  | 2024-06-02 00:00:00 |  62362.93   |
| bitcoin  | 2024-06-03 00:00:00 |  62419.72   |
| bitcoin  | 2024-06-04 00:00:00 |  63083.79   |
| bitcoin  | 2024-06-05 00:00:00 |  64881.83   |
| bitcoin  | 2024-06-06 00:00:00 |  65462.71   |
| bitcoin  | 2024-06-07 00:00:00 |  64964.38   |
| bitcoin  | 2024-06-08 00:00:00 |  64146.76   |
| bitcoin  | 2024-06-09 00:00:00 |  64137.27   |
| bitcoin  | 2024-06-10 00:00:00 |  64623.81   |
| bitcoin  | 2024-06-11 00:00:00 |  64559.65   |
| bitcoin  | 2024-06-12 00:00:00 |   62689.9   |
| bitcoin  | 2024-06-13 00:00:00 |  63085.64   |
| bitcoin  | 2024-06-14 00:00:00 |  62107.47   |
| bitcoin  | 2024-06-15 00:00:00 |  61562.53   |
| bitcoin  | 2024-06-16 00:00:00 |  61759.23   |
| bitcoin  | 2024-06-17 00:00:00 |  62231.37   |
| bitcoin  | 2024-06-18 00:00:00 |  61877.28   |
| bitcoin  | 2024-06-19 00:00:00 |  60621.92   |
| bitcoin  | 2024-06-20 00:00:00 |  60398.37   |
| bitcoin  | 2024-06-21 00:00:00 |  60572.19   |
| bitcoin  | 2024-06-22 00:00:00 |  59924.84   |
| bitcoin  | 2024-06-23 00:00:00 |  60079.41   |
| bitcoin  | 2024-06-24 00:00:00 |  59147.18   |
| bitcoin  | 2024-06-25 00:00:00 |  56243.93   |
| bitcoin  | 2024-06-26 00:00:00 |  57677.51   |
| bitcoin  | 2024-06-27 00:00:00 |  56873.38   |
| bitcoin  | 2024-06-28 00:00:00 |  57491.14   |
| bitcoin  | 2024-06-29 00:00:00 |  56265.05   |
| bitcoin  | 2024-06-30 00:00:00 |  56775.63   |
| bitcoin  | 2024-07-01 00:00:00 |  58430.81   |
| bitcoin  | 2024-07-02 00:00:00 |  58509.44   |
| bitcoin  | 2024-07-03 00:00:00 |  57718.07   |
| bitcoin  | 2024-07-04 00:00:00 |  55833.81   |
| bitcoin  | 2024-07-05 00:00:00 |   52904.9   |
| bitcoin  | 2024-07-06 00:00:00 |  52307.69   |
| bitcoin  | 2024-07-07 00:00:00 |   53715.7   |
| bitcoin  | 2024-07-08 00:00:00 |  51613.91   |
| bitcoin  | 2024-07-09 00:00:00 |   52316.6   |
| bitcoin  | 2024-07-10 00:00:00 |  53621.44   |
| bitcoin  | 2024-07-11 00:00:00 |  53272.29   |
| bitcoin  | 2024-07-12 00:00:00 |  52781.07   |
| bitcoin  | 2024-07-13 00:00:00 |  53014.04   |
| bitcoin  | 2024-07-14 00:00:00 |  54166.68   |
| bitcoin  | 2024-07-15 00:00:00 |  55984.24   |
| bitcoin  | 2024-07-16 00:00:00 |  59500.96   |
